date,equity
2023-02-27,1.0
2023-02-28,1.0154634613025166
2023-03-01,1.0154634613025166
2023-03-02,1.0154634613025166
2023-03-03,1.0048200655857702
2023-03-06,0.9821781419907641
2023-03-07,0.9821781419907641
2023-03-08,0.9821781419907641
2023-03-09,0.9823227767114397
2023-03-10,0.9823227767114397
2023-03-13,0.9823227767114397
2023-03-14,0.9823227767114397
2023-03-15,0.9994798293618522
2023-03-16,0.9994798293618522
2023-03-17,0.9994798293618522
2023-03-20,0.9994798293618522
2023-03-21,0.9909138815662644
2023-03-22,0.9909138815662644
2023-03-23,0.9909138815662644
2023-03-24,1.0074142202128549
2023-03-27,1.0296474449754007
2023-03-28,1.0296474449754007
2023-03-29,1.0296474449754007
2023-03-30,1.0405830794771622
2023-03-31,1.0405830794771622
2023-04-03,1.0405830794771622
2023-04-04,1.0405830794771622
2023-04-05,1.0424702741489
2023-04-06,1.0424702741489
2023-04-07,1.0424702741489
2023-04-10,1.0424702741489
2023-04-11,1.045359300208643
2023-04-12,1.045359300208643
2023-04-13,1.045359300208643
2023-04-14,1.0479469869131817
2023-04-17,1.0398905321461018
2023-04-18,1.0398905321461018
2023-04-19,1.0398905321461018
2023-04-20,1.0257726903407793
2023-04-21,1.0257726903407793
2023-04-24,1.0257726903407793
2023-04-25,1.0257726903407793
2023-04-26,1.0472824198597466
2023-04-27,1.0472824198597466
2023-04-28,1.0472824198597466
2023-05-01,1.0472824198597466
2023-05-02,1.0437184627933742
2023-05-03,1.0437184627933742
2023-05-04,1.0437184627933742
2023-05-05,1.0414017660593002
2023-05-08,1.0326561256288764
2023-05-09,1.0326561256288764
2023-05-10,1.0326561256288764
2023-05-11,1.026986968708713
2023-05-12,1.026986968708713
2023-05-15,1.026986968708713
2023-05-16,1.026986968708713
2023-05-17,1.0338547230640462
2023-05-18,1.0338547230640462
2023-05-19,1.0338547230640462
2023-05-22,1.0338547230640462
2023-05-23,1.0521295459895206
2023-05-24,1.0521295459895206
2023-05-25,1.0521295459895206
2023-05-26,1.0541889736313874
2023-05-29,1.0558670190728334
2023-05-30,1.0558670190728334
2023-05-31,1.0558670190728334
2023-06-01,1.0665112203967249
2023-06-02,1.0665112203967249
2023-06-05,1.0665112203967249
2023-06-06,1.0665112203967249
2023-06-07,1.076292698790676
2023-06-08,1.076292698790676
2023-06-09,1.076292698790676
2023-06-12,1.076292698790676
2023-06-13,1.0902325261713548
2023-06-14,1.0902325261713548
2023-06-15,1.0902325261713548
2023-06-16,1.0742642936033373
2023-06-19,1.0614593523427742
2023-06-20,1.0614593523427742
2023-06-21,1.0614593523427742
2023-06-22,1.0637186658218103
2023-06-23,1.0637186658218103
2023-06-26,1.0637186658218103
2023-06-27,1.0637186658218103
2023-06-28,1.0711905675445064
2023-06-29,1.0711905675445064
2023-06-30,1.0711905675445064
2023-07-03,1.0711905675445064
2023-07-04,1.0569841069100328
2023-07-05,1.0569841069100328
2023-07-06,1.0569841069100328
2023-07-07,1.0738910337420877
2023-07-10,1.0855992420664309
2023-07-11,1.0855992420664309
2023-07-12,1.0855992420664309
2023-07-13,1.0826920068180763
2023-07-14,1.0826920068180763
2023-07-17,1.0826920068180763
2023-07-18,1.0826920068180763
2023-07-19,1.0970008567987464
2023-07-20,1.0970008567987464
2023-07-21,1.0970008567987464
2023-07-24,1.0970008567987464
2023-07-25,1.1053094519015936
2023-07-26,1.1053094519015936
2023-07-27,1.1053094519015936
2023-07-28,1.0974601790238663
2023-07-31,1.0812940915045
2023-08-01,1.0812940915045
2023-08-02,1.0812940915045
2023-08-03,1.0845213752480027
2023-08-04,1.0845213752480027
2023-08-07,1.0845213752480027
2023-08-08,1.0845213752480027
2023-08-09,1.0866679739353065
2023-08-10,1.0866679739353065
2023-08-11,1.0866679739353065
2023-08-14,1.0866679739353065
2023-08-15,1.076937345394714
2023-08-16,1.076937345394714
2023-08-17,1.076937345394714
2023-08-18,1.0744204326328797
2023-08-21,1.0704821346794244
2023-08-22,1.0704821346794244
2023-08-23,1.0704821346794244
2023-08-24,1.0918665341595872
2023-08-25,1.0918665341595872
2023-08-28,1.0918665341595872
2023-08-29,1.0918665341595872
2023-08-30,1.0903283216934783
2023-08-31,1.0903283216934783
2023-09-01,1.0903283216934783
2023-09-04,1.0903283216934783
2023-09-05,1.088479690783539
2023-09-06,1.088479690783539
2023-09-07,1.088479690783539
2023-09-08,1.095574147418852
2023-09-11,1.1002101440798864
2023-09-12,1.1002101440798864
2023-09-13,1.1002101440798864
2023-09-14,1.0985321141564595
2023-09-15,1.0985321141564595
2023-09-18,1.0985321141564595
2023-09-19,1.0985321141564595
2023-09-20,1.0876696600933202
2023-09-21,1.0876696600933202
2023-09-22,1.0876696600933202
2023-09-25,1.0876696600933202
2023-09-26,1.0881237782791677
2023-09-27,1.0881237782791677
2023-09-28,1.0881237782791677
2023-09-29,1.0787725601228046
2023-10-02,1.0745917906828526
2023-10-03,1.0745917906828526
2023-10-04,1.0745917906828526
2023-10-05,1.0894793953028696
2023-10-06,1.0894793953028696
2023-10-09,1.0894793953028696
2023-10-10,1.0894793953028696
2023-10-11,1.093460797317344
2023-10-12,1.093460797317344
2023-10-13,1.093460797317344
2023-10-16,1.093460797317344
2023-10-17,1.0729035763154797
2023-10-18,1.0729035763154797
2023-10-19,1.0729035763154797
2023-10-20,1.0635080391053706
2023-10-23,1.0489380850811683
2023-10-24,1.0489380850811683
2023-10-25,1.0489380850811683
2023-10-26,1.04946804444377
2023-10-27,1.04946804444377
2023-10-30,1.04946804444377
2023-10-31,1.04946804444377
2023-11-01,1.0632223188944478
2023-11-02,1.0632223188944478
2023-11-03,1.0632223188944478
2023-11-06,1.0632223188944478
2023-11-07,1.0637279019742902
2023-11-08,1.0637279019742902
2023-11-09,1.0637279019742902
2023-11-10,1.0837743237305535
2023-11-13,1.0944925459436436
2023-11-14,1.0944925459436436
2023-11-15,1.0944925459436436
2023-11-16,1.093733844399834
2023-11-17,1.093733844399834
2023-11-20,1.093733844399834
2023-11-21,1.093733844399834
2023-11-22,1.0939967404717206
2023-11-23,1.0939967404717206
2023-11-24,1.0939967404717206
2023-11-27,1.0939967404717206
2023-11-28,1.108592898577361
2023-11-29,1.108592898577361
2023-11-30,1.108592898577361
2023-12-01,1.0999294687712018
2023-12-04,1.0964556419387006
